alerts/fired_alerts,Access all fired alerts
alerts/fired_alerts/:name,Access specific fired alert
apps/appinstall,Install app from URL or local file
apps/apptemplates,Manage app templates
apps/apptemplates/:name,Access particular app template
apps/local,Manage local apps
apps/local/:name,Manage specific local app
apps/local/:name/package,Archive a specific app
apps/local/:name/setup,Access app setup information
apps/local/:name/update,Access update information for an app
auth/login,Provide user authentication
authentication/current-context,Access current user contexts
authentication/current-context/:name,Access specific user context
authentication/httpauth-tokens,Manage session tokens
authentication/httpauth-tokens/:name,Manage specific session token
authentication/users,Manage user accounts
authentication/users/:name,Manage specific user account
authorization/capabilities,Access capability authorization
authorization/capabilities/:name,Access specific capability
authorization/roles,Access user roles
authorization/roles/:name,Access specific user role
cluster/config,Manage cluster configuration
cluster/config/:name,Manage specific cluster configuration
cluster/master/buckets,Access master node bucket configurations
cluster/master/buckets/:name,Access master node bucket info
cluster/master/control/control/rebalance_primaries,Access master controls to rebalance primary buckets across peers
cluster/master/generation,Access master node generation info
cluster/master/generation/:name,"Access specific generation information, cluster master"
cluster/master/indexes,Access cluster index information
cluster/master/indexes/:name,Access specific cluster index information
cluster/master/info,Access cluster master node information
cluster/master/peers,"Access peer information, master node"
cluster/master/peers/:name,Access specific master node peer information
cluster/master/sites,Access cluster site information
cluster/master/sites/:name,Access specific cluster site information
cluster/searchhead/generation,Access searchhead peer information
cluster/searchhead/generation/:name,Access specific searchhead peer information
cluster/searchhead/searchheadconfig,Access cluster configuration for searchhead
cluster/searchhead/searchheadconfig/:name,Access specific cluster node
cluster/slave/buckets,Access peer bucket configuration information
cluster/slave/buckets/:name,Access peer bucket configuration
cluster/slave/info,Access peer node information
cluster/slave/info/:name,Access information about specific peer
configs/conf-:file,Raw access to conf files
configs/conf-:file/:name,Raw access to specific conf file
data/commands,Access search commands
data/commands/:name,Access specific search command
data/index-volumes,Access logical drive information
data/index-volumes/:name,Access logical drive information
data/indexes,Manage data indexes
data/indexes/:name,Manage specific data index
data/indexes-extended,Access index bucket level information
data/indexes-extended/:name,access specific index bucket level info
data/inputs/ad,Access Active Directory monitoring input
data/inputs/ad/:name,Access Active Directory monitoring stanza
